香港频道,#genre#
翡翠台,https://1gc5nhctw8rzdncbwfaauepa.ourdvsss.com/hdl0901.plures.net/onlive/aaac3bbd7431f7782ad6feeb6e29f215.flv
翡翠台,https://pl0-hls.live.huajiao.com/live_huajiao_v2/fd2a266cdfda3c687c8421b182aaf29b/playlist.m3u8
翡翠台,p2p://lino.homeunix.com:6007/5a562a0b000d7041619b441d562d5ee8.ts
翡翠台,p2p://lino.homeunix.com:6007/5ad32c0d0000bbd049ef0eab717740e2.ts
无线新闻,https://1gc5nhctw8rzdncbwfaauepo.ourdvsss.com/hdl0901.plures.net/onlive/0c8a37bf1f6a20519e559db57a1201d1.flv
无线新闻,p2p://lino.homeunix.com:6007/5a562bec0007bfd761a2998e00b83dd5.ts
有线新闻,https://4gr5ukmtwgczdrcbqgchy.ourdvsss.com/hdl0901.plures.net/onlive/c0848d60a25f82fb66a629f6199fdf97.flv
有线新闻,https://4gr5ukmtwgczdrcbqgchy.ourdvsss.com/hdl0901.plures.net/onlive/123456789news2.flv
有线630,https://4graurmt3gyzd1pbqge5y.ourdvsss.com/pl0.live.huajiao.com/live_huajiao_v2/0123f37f7649410fa307669e61c13580.flv
明珠台,https://1gc5nhctw8rzdncbwfaauepa.ourdvsss.com/hdl0901.plures.net/onlive/320ec8178b423b8a9667a83145288359.flv
viutv,https://1gc5nhctw8rzdncbwfaauepa.ourdvsss.com/hdl0901.plures.net/onlive/c83e347bf95775d0321261cd5652cd92.flv
J2,https://1gc5nhctw8rzdncbwfaauepa.ourdvsss.com/hdl0901.plures.net/onlive/fcf9a178c956dbe59c4ddb5ef8719bd9.flv
NOW新闻,https://1gc5nhctw8rzdncbwfaauepa.ourdvsss.com/hdl0901.plures.net/onlive/36fb1e7e06d65e9a82db4db94594a370.flv
星河台,https://4graurmt3gyzd1pbqge5o.ourdvsss.com/pl0.live.huajiao.com/live_huajiao_v2/3f0b31b0fa5fba03c4701ce73f89f7aa.flv
凤凰卫视中文,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225948/1.m3u8
凤凰卫视中文,http://qlive.fengshows.cn/live720p/PCC.flv
凤凰卫视中文,http://117.169.124.37:6610/ysten-businessmobile/live/fhchinese/1.m3u8
凤凰卫视中文,http://117.169.120.138:8080/live/fhchinese/index.m3u8
凤凰卫视资讯,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225949/1.m3u8
凤凰卫视资讯,http://qlive.fengshows.cn/live720p/PIN.flv
凤凰卫视资讯,http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8
凤凰卫视资讯,http://117.169.124.37:6610/ysten-businessmobile/live/fhzixun/1.m3u8
央视频道,#genre#
CCTV-1,http://112.50.243.8/PLTV/88888888/224/3221225922/1.m3u8
CCTV-1,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV-1,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV-1,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
CCTV-1,http://39.135.34.150:8080/000000001000/1000000001000021973/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=4ef1f6fdd53988bdf19472c73151206f21vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000021973&owchid=ystenlive&owsid=1106497909461769539&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRLaQJeR5usCQMKdpIDCZAoYPt4bOuuiUwGxs8%2fKxpb7Wa3xqB26AcGEvjhx3JJlw6
CCTV-2,http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8
CCTV-2,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV-2,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
CCTV-2,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV-2,http://39.135.34.150:8080/000000001000/1000000001000012442/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=4ef1f6fdd53988bdf19472c73151206f21vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000012442&owchid=ystenlive&owsid=1106497909461775063&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRknGE%2fO0VC9Co37x%2f7gMjaWYjatUfTQlAa15Ksg%2fXe8sQo%2fi5btdpzeV%2b1v4UwuHf
CCTV-3,http://223.110.241.130:6610/gitv/live1/G_CCTV-3-HQ/.m3u8
